7281,Anjappar,Delhivery Bangalore HSR,Bangalore,Zomato
7793,Eat Well - Eat For A Cause,Delhivery Bangalore HSR,Bangalore,Zomato
8002,Bangaliana,Delhivery Bangalore HSR,Bangalore,Zomato
10039,Rolls On Wheels,Delhivery Bangalore HSR,Bangalore,Zomato
10046,Andhra Bhavan Restaurant,Delhivery Bangalore HSR,Bangalore,Zomato
7220,Lucknowiz,Delhivery Bangalore Kormangala,Bangalore,Zomato
7221,Happy Brew,Delhivery Bangalore Kormangala,Bangalore,Zomato
7222,Hangout Cafe,Delhivery Bangalore Kormangala,Bangalore,Zomato
7223,Coffee On Canvas,Delhivery Bangalore Kormangala,Bangalore,Zomato
7225,Le Charcoal,Delhivery Bangalore Kormangala,Bangalore,Zomato
7227,Biriyani Nation,Delhivery Bangalore Kormangala,Bangalore,Zomato
7233,Axomi - Taste of Assam,Delhivery Bangalore Kormangala,Bangalore,Zomato
7234,Gelato Italiano,Delhivery Bangalore Kormangala,Bangalore,Zomato
7235,Rang De Basanthi,Delhivery Bangalore Kormangala,Bangalore,Zomato
7236,Friends Euro Fast Food,Delhivery Bangalore Kormangala,Bangalore,Zomato
7237,Go Italia,Delhivery Bangalore Kormangala,Bangalore,Zomato
7238,Shree Thali,Delhivery Bangalore Kormangala,Bangalore,Zomato
7239,The Local - Terrace Drinkery,Delhivery Bangalore Kormangala,Bangalore,Zomato
7243,Treehouse Kitchen and Culture,Delhivery Bangalore Kormangala,Bangalore,Zomato
7244,Delhi Food Point,Delhivery Bangalore Kormangala,Bangalore,Zomato
7245,The Local - Burger Bar,Delhivery Bangalore Kormangala,Bangalore,Zomato
7247,Delicacy,Delhivery Bangalore Kormangala,Bangalore,Zomato
7250,Ghar Ka Khana,Delhivery Bangalore Kormangala,Bangalore,Zomato
7251,Royal Treat,Delhivery Bangalore Kormangala,Bangalore,Zomato
7253,Enigma Pub,Delhivery Bangalore Kormangala,Bangalore,Zomato
7254,898 Steaks & Grill,Delhivery Bangalore Kormangala,Bangalore,Zomato
7255,Over The Top Terrace Lounge,Delhivery Bangalore Kormangala,Bangalore,Zomato
